id,leaderId,date,week,present,absent,note
M0001,L001,2026-08-12,2026-08-10,D001,,
M0002,L001,2026-08-19,2026-08-17,D001,,Covered CAMP step 2.
M0003,L001,2026-08-26,2026-08-24,D001,,Prayer + review of last week's reading.
M0004,L001,2026-09-01,2026-08-31,D001,,"Short week, quick check-in."
M0005,L001,2026-09-09,2026-09-07,D001,,
M0006,L001,2026-09-20,2026-09-14,D001,,"Short week, quick check-in."
M0007,L002,2026-09-08,2026-09-07,D002;D003,D004,Met over breakfast.
M0008,L002,2026-09-15,2026-09-14,D002;D003;D004,,
M0009,L004,2026-08-13,2026-08-10,D007,D006,Covered CAMP step 2.
M0010,L004,2026-08-20,2026-08-17,D006;D007,,Met over breakfast.
M0011,L004,2026-08-30,2026-08-24,D006;D007,,Met over breakfast.
M0012,L004,2026-09-02,2026-08-31,D006;D007,,Worked through Luke 9.
